utt_id,v25ce_score,v3hinge_score,v3_caught,suspect,verdict1,verdict2,final_verdict
72b50d46d8a7719bc33e9dc601d0bd7e,-4.892,-1.614,v3-missed,True,bad,,bad
134d1e2e868f280f12a5627d482411b5,-4.252,-1.755,v3-missed,True,bad,,bad
7192773dc3e2334becd23231d1c1f54a,-3.670,-0.956,v3-missed,True,bad,,bad
2c7069a8dc5efaed5447fa6a51777dc4,-2.971,-0.764,v3-missed,True,ok,ok,ok
8f0e1aa08826a349698e50e9b88e37a9,-2.191,0.849,V3-CAUGHT,True,bad,,bad
aa25aba0735682e08d280edf9128d50a,-2.097,-0.166,V3-CAUGHT,True,very_hard,ok,ok
2fc51fb405e665cbd971696f7d8288c8,-1.960,0.158,V3-CAUGHT,True,bad,,bad
930273ed9117e1c15c5e3a51498c3385,-1.943,1.716,V3-CAUGHT,False,very_hard,very_hard,very_hard
de4be83a23e298a1292938484e596fce,-1.867,0.575,V3-CAUGHT,True,bad,,bad
ab8e7b6db73fea8c03557805db6f3f00,-1.729,1.056,V3-CAUGHT,False,ultra_hard,,ultra_hard
ad75a1bbebf6db5c3721851cfede04f8,-1.719,0.914,V3-CAUGHT,False,very_hard,hard,hard
2c67f3fc32b6ff3280e2a44024376207,-1.654,-0.163,V3-CAUGHT,True,very_hard,very_hard,very_hard
082b6bda364384f461a4b9a2749b0c83,-1.616,0.884,V3-CAUGHT,False,bad,,bad
0d31037d418d9f6a786731a924158cdb,-1.607,-0.534,v3-missed,True,ok,ok,ok
6d023222ac69cf8cd8cd1453ab4031fc,-1.569,0.003,V3-CAUGHT,True,very_hard,hard,hard
6f1e7aa39564643217042ab51b79c600,-1.322,1.258,V3-CAUGHT,False,bad,,bad
9ceb849e442663b84e2a8f7bfe2387cc,-1.262,0.826,V3-CAUGHT,False,bad,,bad
9baef53fc29ffc0a1ec27b22a42e2c00,-1.148,0.652,V3-CAUGHT,False,very_hard,hard,hard
c598e237158378449806820af8e54983,-1.020,1.226,V3-CAUGHT,False,ultra_hard,,ultra_hard
1a9cb2daa5fe3c63514ed735cb370adc,-0.860,1.706,V3-CAUGHT,False,ultra_hard,,ultra_hard
4064b46e9a1c1fa9a2a99b860fa662b4,-0.821,1.984,V3-CAUGHT,False,ultra_hard,,ultra_hard
83a78636f66b9d9000c95aaf6854a25d,-0.800,0.472,V3-CAUGHT,True,ultra_hard,,ultra_hard
2a87c93caf130eae9a6893c7ca0e496f,-0.792,-0.583,v3-missed,True,very_hard,hard,hard
00f476f3454853d6de0b0800b410588c,-0.777,0.688,V3-CAUGHT,True,ok,ok,ok
e7d4ed7ac533c461583726f3a81affad,-0.766,1.142,V3-CAUGHT,False,very_hard,hard,hard
f5ca54eafb79a9612a5ebed12adf1132,-0.765,1.387,V3-CAUGHT,False,very_hard,ok,ok
0a3953aaeecfdd8e9d2a14e44259b884,-0.615,1.753,V3-CAUGHT,False,very_hard,very_hard,very_hard
fa0c60cb67f471abd06fe4fb6a01c965,-0.580,1.259,V3-CAUGHT,False,very_hard,very_hard,very_hard
397a5ad9017ca0ee3edffde1f3c1aaf1,-0.576,0.187,V3-CAUGHT,False,ultra_hard,,ultra_hard
be0ef12c2ad34ce4b6bb3262f7a5d65f,-0.567,1.553,V3-CAUGHT,False,bad,,bad
dd727a01fa539b6a94202bdf35092c16,-0.565,-0.019,V3-CAUGHT,True,very_hard,hard,hard
aa8307763150668b9c9b5bcc8ac4225f,-0.562,0.426,V3-CAUGHT,False,ok,ok,ok
7f8938d7530d38736ce0d147e1cc2959,-0.520,-0.502,v3-missed,False,very_hard,very_hard,very_hard
ca89d210829b74f465676f85464d7145,-0.512,0.040,V3-CAUGHT,False,very_hard,hard,hard
ba9e76a066a433a26cd88b4f6ffa477d,-0.490,0.427,V3-CAUGHT,False,very_hard,ok,ok
654d0996b03ea5e4020b9ed66fc10d84,-0.467,1.059,V3-CAUGHT,False,bad,,bad
864f0fd525b494e98af4bb8d1bef64b6,-0.461,1.064,V3-CAUGHT,False,ultra_hard,,ultra_hard
5c9fbcee7836852283a5ee5908e16119,-0.391,1.159,V3-CAUGHT,False,very_hard,very_hard,very_hard
4a214c737e8bba59ce86d96697ff9673,-0.387,1.846,V3-CAUGHT,False,ok,ok,ok
d254f9b67a3990664e236e347299186d,-0.335,0.894,V3-CAUGHT,False,ultra_hard,,ultra_hard
7384ec8c66787e6d121b51077e648ab4,-0.325,0.510,V3-CAUGHT,False,very_hard,very_hard,very_hard
0d9e8593d23f9f9680cb766579b62e9c,-0.242,2.406,V3-CAUGHT,False,bad,,bad
2b8101265648b2d2d3ab5b8006f9d111,-0.241,0.911,V3-CAUGHT,False,bad,,bad
1980435431652b12fc063a8aef9e744f,-0.240,1.468,V3-CAUGHT,False,ultra_hard,,ultra_hard
a0825d14f6562cb2e6aae30bef4a95cc,-0.177,1.266,V3-CAUGHT,False,bad,,bad
4a01c56f48d3e5ae5fa51161caace9ab,-0.123,1.157,V3-CAUGHT,False,ultra_hard,,ultra_hard
e141309ea1fa920bd54a018682a358a5,-0.121,1.776,V3-CAUGHT,False,ultra_hard,,ultra_hard
12e1d2ae0947da3c34815486b03a614e,-0.060,1.049,V3-CAUGHT,False,very_hard,hard,hard
e908056c0c1364f9a05273c3d963e5bb,-0.059,0.307,V3-CAUGHT,False,bad,,bad
a1e2b4831f7d562636af3dd181686572,0.089,1.094,V3-CAUGHT,False,very_hard,very_hard,very_hard
40ef1edb4a076a34bd206af38ba79556,0.120,1.158,V3-CAUGHT,False,very_hard,very_hard,very_hard
eb70f0dedcf3c7d809b00d9ddfb31d9c,0.122,1.072,V3-CAUGHT,False,bad,,bad
e9bea409fcba4a88c6d7ab733e62a429,0.223,1.245,V3-CAUGHT,False,very_hard,hard,hard
b8f25d2ce0a23e6d2fdf4d205fbb802b,0.225,2.240,V3-CAUGHT,False,very_hard,very_hard,very_hard
cdefbbbbb8c047a650025cd145d40a09,0.230,1.977,V3-CAUGHT,False,ok,hard,hard
3f996d89b43c11defaa27903cc83cdf4,0.257,0.924,V3-CAUGHT,True,very_hard,very_hard,very_hard
8fd1d906f374772cfe435788beaba535,0.260,-0.407,v3-missed,True,bad,,bad
a7051ddcefa9cf4659d6576403dd7b54,0.311,0.918,V3-CAUGHT,False,ultra_hard,,ultra_hard
26f17d7f9266a017eaee7283880257cb,0.322,1.623,V3-CAUGHT,False,very_hard,ultra_hard,ultra_hard
7fddf279244c57a6d8726a80081c1e6a,0.335,0.321,V3-CAUGHT,False,very_hard,very_hard,very_hard
6d2c25dd4ec7545ebb4a74c6db2caf68,0.353,1.266,V3-CAUGHT,False,very_hard,very_hard,very_hard
7f66a88e93bec85824467425fd569675,0.362,1.516,V3-CAUGHT,False,ok,ok,ok
99cc8dfcd398faed8d110ead8459823f,0.448,1.429,V3-CAUGHT,False,ultra_hard,,ultra_hard
3b9b71dca2b6bd912ef859fbe5f89136,0.489,1.271,V3-CAUGHT,False,very_hard,very_hard,very_hard
36b534a9b1ab7fbe6c8a00c7c833cc3f,0.499,1.558,V3-CAUGHT,False,very_hard,hard,hard
ac52b8c466bbe6ad6ce0a9c78a006b68,0.507,0.702,V3-CAUGHT,True,bad,,bad
12f9ac0775bb918126ef2884f56067c1,0.513,1.374,V3-CAUGHT,False,very_hard,very_hard,very_hard
b2375ab2534cce1910482bd368b0ad89,0.516,1.839,V3-CAUGHT,False,ok,hard,hard
4e01fb1b3e4778ac29910c47e9cb4bec,0.544,1.388,V3-CAUGHT,False,ok,very_hard,very_hard
8b4b70f483122f9962f4dd5e879202cd,0.563,1.602,V3-CAUGHT,False,very_hard,ok,ok
5b5663ea88c42136ac90ffe46eeae0c4,0.627,1.566,V3-CAUGHT,False,bad,,bad
3696206af1edda690f16dc31189998e7,0.649,1.332,V3-CAUGHT,False,very_hard,very_hard,very_hard
8e99bca256490698f3321b018fef10db,0.685,1.174,V3-CAUGHT,False,ok,ok,ok
9b9a8728484d48f98db207e700dd1924,0.724,1.894,V3-CAUGHT,False,very_hard,very_hard,very_hard
510459f9745c1ac8d8c112e341ad47f2,0.737,1.662,V3-CAUGHT,False,ultra_hard,,ultra_hard
0ad5812d5ca139a5376b71b88c8b43fa,0.750,0.417,V3-CAUGHT,True,ultra_hard,,ultra_hard
a69be6e857e6f63139352073b9efbed6,0.766,1.195,V3-CAUGHT,False,ultra_hard,,ultra_hard
4cbc2bd0a8a2ebc873cd984f7ea5a683,0.856,1.527,V3-CAUGHT,False,very_hard,bad,bad
078c6b939d7cb71306f03886b0145c98,0.863,2.210,V3-CAUGHT,False,very_hard,hard,hard
3bbf00bf299dded549353e7c31000855,0.877,1.274,V3-CAUGHT,False,very_hard,very_hard,very_hard
1a6caba796d767ce8f26fd23a08e907b,0.884,1.399,V3-CAUGHT,False,very_hard,very_hard,very_hard
6fadc53232e3bd90438b8b230380117f,0.936,1.357,V3-CAUGHT,False,very_hard,very_hard,very_hard
cb7243d741ea2ae71371162177842cfc,0.972,2.295,V3-CAUGHT,False,very_hard,very_hard,very_hard
01ce759698fd2b68e281958db7b353ff,1.008,2.071,V3-CAUGHT,False,very_hard,hard,hard
2a5d869e59b8dd33b584f88e015e56fc,1.024,1.565,V3-CAUGHT,False,very_hard,very_hard,very_hard
7f39b8bff4316eaf4e23d78813121806,1.026,1.537,V3-CAUGHT,False,bad,,bad
5f94460b737bd0de4735fd11a79a7f5b,1.045,1.390,V3-CAUGHT,False,very_hard,ultra_hard,ultra_hard
6d06367bf3ee1c79b9118b8ccc92508f,1.118,2.044,V3-CAUGHT,False,very_hard,very_hard,very_hard
206b0878c1ca0027c8d21efd18004c78,1.121,1.738,V3-CAUGHT,False,ultra_hard,,ultra_hard
8d6e4470bf7221f23494d6d92265d20c,1.133,1.395,V3-CAUGHT,False,ultra_hard,,ultra_hard
e0e30c06fc7af530510609dc5dad1224,1.143,1.431,V3-CAUGHT,False,ultra_hard,,ultra_hard
78f0648a060756d4dc633a4eac89df45,1.147,1.018,V3-CAUGHT,False,very_hard,very_hard,very_hard
5dcb460e38f2aad28836b560141015a3,1.163,2.140,V3-CAUGHT,False,very_hard,very_hard,very_hard
ab10640429f8f8af9636b69ef85b8f72,1.172,0.951,V3-CAUGHT,False,ultra_hard,,ultra_hard
02b04111d4c6d80d5f9a1faa8dff574a,1.209,2.163,V3-CAUGHT,False,very_hard,very_hard,very_hard
e01568bbceaa5cb67600be3a03599aba,1.228,0.943,V3-CAUGHT,False,very_hard,very_hard,very_hard
702f56e2fd2694db8dae0ff22e8b0c7a,1.310,0.962,V3-CAUGHT,False,bad,,bad
e4722a1b192932306c4c71947510531b,1.333,1.298,V3-CAUGHT,False,ok,hard,hard
63e541ec5e1190312918c71fae4a6fba,1.337,1.760,V3-CAUGHT,False,ok,hard,hard
9d3ca092b63ad2a8942754e2a786d20e,1.359,2.277,V3-CAUGHT,False,bad,,bad
5eeb1ec753c2ed0e32949961ed39b574,1.397,1.588,V3-CAUGHT,False,ultra_hard,,ultra_hard
e51a095248371327f18f51a80accbf6d,1.451,1.601,V3-CAUGHT,False,very_hard,very_hard,very_hard
01659fcc2a37ad1603dffd4eab4a7032,1.466,1.619,V3-CAUGHT,False,ultra_hard,,ultra_hard
3725a4277863ca765fb66468bac49636,1.492,2.366,V3-CAUGHT,False,bad,,bad
d0f60b310e16f84e94e656b656ddbbed,1.511,1.690,V3-CAUGHT,False,very_hard,very_hard,very_hard
e34c23db766ad7c99a7bee82542f994f,1.546,1.676,V3-CAUGHT,False,ok,ok,ok
a73781f153f5153bb603a03a9d8cc959,1.573,0.976,V3-CAUGHT,False,very_hard,very_hard,very_hard
6b85972a3d4e865c751e573bd4c6f7d8,1.599,2.284,V3-CAUGHT,False,bad,,bad
5cddb882b68fe7dad4b16f0c29fc8a5c,1.602,1.509,V3-CAUGHT,False,ultra_hard,,ultra_hard
7f2b327d97156fa75590d69c678e00ef,1.618,2.199,V3-CAUGHT,False,very_hard,very_hard,very_hard
9375fd7b5c7904df10b96e4a04644d70,1.659,1.861,V3-CAUGHT,False,very_hard,very_hard,very_hard
bf5747c15bc1b1cf91a647a4758f39cd,1.688,1.464,V3-CAUGHT,False,ultra_hard,,ultra_hard
59a30291b60eb46dad469f44d05e3912,1.720,1.733,V3-CAUGHT,False,very_hard,very_hard,very_hard
5565462db6c68146cdede9e4f584b99a,1.722,2.170,V3-CAUGHT,False,bad,,bad
88e64e84408a2c68667b100140abaa1f,1.734,1.687,V3-CAUGHT,False,ok,ok,ok
9679ec027c0920dce36ce49d23279301,1.742,1.992,V3-CAUGHT,False,very_hard,very_hard,very_hard
